CustomerID,Name,DOB,Gender,JoinDate,IncomeBracket,CustomerSegment,RiskScore
1,Indrans Chowdhury,02-04-80,Female,31-01-25,Low,Retail,0.1
2,Nehmat Chand,07-06-63,Female,24-11-24,Upper Middle,Retail,0.69
3,Navya Bala,04-12-97,Male,25-06-24,Low,Priority,0.17
4,Abram De,26-04-01,Female,29-11-24,Upper Middle,Digital,0.87
5,Heer Warrior,28-12-81,Male,04-06-24,Low,Corporate,0.78
6,Veer Gill,22-12-89,Female,21-08-24,Low,Corporate,0.66
7,Miraan Bali,04-08-57,Female,21-11-24,Upper Middle,Corporate,0.8
8,Raghav Luthra,03-12-56,Female,28-08-24,Upper Middle,Priority,0.52
9,Shray Khurana,17-03-82,Female,06-11-24,Upper Middle,Corporate,0.15
10,Amira Mangat,20-02-67,Female,02-07-24,Middle,Corporate,0.74
11,Reyansh Yogi,08-08-99,Female,05-02-25,Low,Corporate,0.46
12,Aarush Sule,07-01-82,Female,27-03-25,Low,Corporate,0.43
13,Ishita Gaba,30-09-96,Male,12-07-24,Upper Middle,Retail,0.42
14,Divyansh Chopra,23-06-93,Female,09-11-24,Upper Middle,Digital,0.48
15,Yuvaan Biswas,22-07-81,Male,12-11-24,High,Retail,0.35
16,Kiara Chaudhry,02-09-82,Male,17-12-24,Low,Retail,0.04
17,Emir Kannan,09-10-98,Male,12-06-24,Upper Middle,Digital,0.8
18,Zara Sibal,30-09-67,Male,04-09-24,Low,Digital,0.28
19,Alia Kumar,26-05-67,Male,22-06-24,High,Digital,0.98
20,Samaira Basak,08-05-88,Female,11-07-24,Low,Corporate,0.19
21,Hiran Shroff,28-10-97,Female,04-02-25,High,Retail,0.45
22,Kaira Setty,23-03-66,Male,04-12-24,High,Priority,0.54
23,Ivana Walla,20-01-85,Male,13-11-24,Middle,Corporate,0.21
24,Elakshi Sen,21-08-74,Male,11-06-24,High,Digital,1
25,Shayak Jain,08-10-66,Male,18-06-24,Upper Middle,Digital,0.44
26,Raunak Dalal,15-04-88,Male,17-12-24,Upper Middle,Digital,0.32
27,Saksham Sanghvi,25-02-55,Female,01-03-25,High,Retail,0.73
28,Trisha Sharma,22-03-68,Female,27-08-24,Middle,Corporate,0.9
29,Kabir Vyas,15-04-72,Female,21-08-24,Low,Corporate,0.79
30,Alisha Bhattacharyya,04-08-00,Female,14-11-24,Middle,Retail,0.57
31,Azad Chauhan,01-10-74,Female,12-10-24,High,Retail,0.44
32,Saksham Ghose,19-08-87,Female,10-08-24,Low,Digital,0.37
33,Dharmajan Bora,28-04-69,Male,30-11-24,High,Retail,0.15
34,Rhea Ram,13-11-60,Male,14-06-24,Middle,Retail,0.2
35,Lakshit Kar,30-03-60,Female,11-07-24,Low,Retail,0.1
36,Rati Deshpande,31-07-66,Male,07-06-24,Low,Priority,0.5
37,Shalv Kale,11-07-81,Female,29-09-24,Low,Digital,0.4
38,Shray Rau,03-01-78,Male,15-10-24,Upper Middle,Corporate,0.49
39,Kimaya Walla,16-05-71,Male,18-07-24,Low,Digital,0.37
40,Eshani Thakkar,29-06-71,Female,07-12-24,Upper Middle,Retail,0.11
41,Inaaya  Bhat,18-11-96,Male,26-03-25,Upper Middle,Priority,0.52
42,Manikya Sandal,27-09-70,Male,29-08-24,High,Digital,0.83
43,Indrans Wali,28-04-81,Female,18-02-25,Middle,Priority,0.71
44,Aradhya Wason,28-10-89,Male,01-04-24,Low,Digital,0.09
45,Dhruv Khalsa,24-02-80,Male,23-07-24,Middle,Retail,0.27
46,Alisha Anand,15-01-67,Male,02-09-24,Upper Middle,Retail,0.85
47,Samiha Das,26-02-02,Female,06-06-24,Low,Corporate,0.52
48,Nirvaan Kannan,10-11-05,Male,06-05-24,High,Corporate,0.78
49,Miraya Iyer,17-09-75,Female,09-11-24,High,Priority,0.02
50,Vardaniya Dhillon,03-01-82,Male,20-12-24,Upper Middle,Priority,0.04
51,Ryan Savant,01-04-70,Female,25-05-24,Low,Corporate,0.79
52,Kavya Issac,04-03-97,Male,07-11-24,Upper Middle,Priority,0.96
53,Faiyaz Sandhu,12-06-87,Male,21-09-24,Low,Digital,0.17
54,Tushar Bala,04-07-84,Female,17-02-25,Low,Digital,0.67
55,Nirvi Zachariah,01-03-69,Female,03-02-25,Middle,Retail,0.39
56,Samaira Behl,11-04-80,Female,01-01-25,Upper Middle,Retail,0.91
57,Ojas Shetty,04-04-94,Male,08-10-24,High,Corporate,0.51
58,Anahi Reddy,06-04-80,Male,21-03-25,High,Corporate,0.71
59,Vaibhav Sani,20-07-62,Female,17-01-25,High,Retail,0.2
60,Bhavin Som,17-12-92,Female,10-05-24,High,Corporate,0.93
61,Renee Bera,03-06-89,Female,29-11-24,Middle,Corporate,0.11
62,Ahana  Bail,19-04-86,Male,17-10-24,Low,Priority,0.37
63,Veer Bala,20-07-98,Male,24-02-25,High,Priority,0.77
64,Sahil Kohli,08-01-72,Male,25-12-24,Middle,Priority,0.48
65,Vedika Tak,19-11-71,Female,11-09-24,Middle,Priority,0.46
66,Eva Rattan,09-02-56,Male,01-11-24,Upper Middle,Corporate,0.21
67,Aniruddh Biswas,02-05-55,Male,20-10-24,High,Digital,0.37
68,Nirvi Gulati,20-02-84,Female,19-11-24,Middle,Retail,0.32
69,Lavanya Gera,30-11-03,Male,08-09-24,Low,Retail,0.91
70,Jiya Sane,01-08-56,Female,16-01-25,High,Digital,0.4
71,Abram Sodhi,08-03-91,Female,23-01-25,Middle,Digital,0.62
72,Ritvik Dani,10-06-55,Female,11-06-24,Middle,Priority,0.57
73,Shanaya Bhattacharyya,21-11-59,Male,01-02-25,Low,Retail,0.69
74,Nehmat Bava,12-09-57,Female,25-07-24,High,Retail,0.11
75,Ranbir Contractor,06-06-68,Female,18-01-25,Middle,Retail,0.82
76,Nakul Jani,15-09-95,Male,29-06-24,Middle,Retail,0.11
77,Vardaniya Mani,21-05-75,Female,01-10-24,Upper Middle,Digital,0.48
78,Suhana Iyengar,04-07-64,Female,23-09-24,Middle,Retail,0.84
79,Seher Bir,27-03-58,Female,07-02-25,Upper Middle,Priority,0.53
80,Chirag Butala,29-07-98,Male,14-08-24,Upper Middle,Corporate,0.73
81,Divij Karnik,19-05-56,Male,16-07-24,Middle,Digital,0.02
82,Zara Uppal,01-08-83,Female,15-11-24,Upper Middle,Retail,0.75
83,Suhana Sheth,28-09-56,Female,18-06-24,High,Retail,0.71
84,Shayak Doctor,18-05-96,Male,25-07-24,High,Corporate,0.68
85,Anvi Brar,22-12-57,Male,02-06-24,Upper Middle,Retail,0.29
86,Indrans Venkatesh,22-04-00,Female,13-06-24,Middle,Digital,0.85
87,Devansh Sahni,01-12-01,Male,25-10-24,Low,Retail,0.71
88,Lavanya Dave,13-07-91,Male,06-04-24,Low,Priority,0.36
89,Hazel Chadha,21-05-65,Male,03-11-24,Upper Middle,Digital,0.64
90,Samiha Grewal,28-02-84,Male,27-06-24,Middle,Corporate,0.88
91,Aarush Devi,23-05-65,Female,24-05-24,Low,Priority,0.4
92,Anya Hora,08-11-98,Female,24-11-24,Upper Middle,Digital,0.86
93,Gatik Chowdhury,04-09-68,Female,12-10-24,High,Priority,0.29
94,Shanaya Sinha,09-05-82,Male,26-01-25,Low,Corporate,0.93
95,Farhan Balan,10-04-83,Male,24-08-24,Middle,Digital,0.96
96,Jayan Karnik,13-10-81,Male,28-11-24,High,Digital,0.93
97,Dhruv Mani,23-11-80,Female,22-03-25,High,Priority,0.98
98,Emir Mane,11-02-05,Male,05-11-24,Middle,Corporate,0.69
99,Elakshi Bhardwaj,26-10-58,Male,27-10-24,High,Priority,0.45
100,Parinaaz Bhagat,23-09-00,Female,26-06-24,Upper Middle,Retail,0.95
101,Samiha Contractor,22-10-81,Female,06-04-24,High,Corporate,0.46
102,Fateh Bansal,26-07-04,Male,16-04-24,Low,Corporate,0.03
103,Aayush Varghese,18-11-75,Male,16-11-24,Low,Retail,0.58
104,Zeeshan Sahota,02-09-86,Female,16-10-24,Upper Middle,Retail,0.99
105,Khushi Edwin,20-05-59,Female,27-02-25,High,Priority,0.63
106,Saanvi Srinivas,03-05-93,Male,14-03-25,Upper Middle,Corporate,0.15
107,Divit Dave,29-11-88,Male,21-01-25,Low,Priority,0.26
108,Sahil Ramachandran,05-02-62,Female,28-05-24,High,Digital,0.27
109,Gatik Deshpande,28-01-65,Female,17-08-24,Upper Middle,Digital,0.89
110,Akarsh Ganesh,24-03-91,Female,29-01-25,Middle,Retail,0.75
111,Saanvi Desai,30-08-05,Male,30-03-25,Upper Middle,Digital,0.13
112,Yakshit Konda,24-01-73,Female,13-08-24,Upper Middle,Digital,0.48
113,Nehmat Basak,26-08-71,Female,23-11-24,Upper Middle,Digital,0.46
114,Bhamini Amble,13-08-05,Male,23-11-24,High,Priority,0.02
115,Anvi Bobal,05-04-70,Male,27-04-24,Upper Middle,Digital,0.93
116,Zeeshan Kibe,17-01-87,Male,07-05-24,High,Priority,0.63
117,Divyansh Sibal,18-06-95,Male,03-02-25,Low,Corporate,0.1
118,Gatik Tandon,29-10-86,Male,01-11-24,Middle,Digital,0.17
119,Elakshi Amble,06-11-64,Male,24-03-25,Low,Digital,0.33
120,Amani Mane,11-11-60,Female,14-04-24,Middle,Priority,0.55
121,Umang Hari,26-12-61,Female,02-03-25,High,Digital,0.66
122,Diya Devan,27-09-80,Female,20-09-24,Upper Middle,Retail,0.99
123,Tiya Zacharia,23-01-06,Female,06-02-25,Low,Digital,0.84
124,Ehsaan Goswami,30-12-70,Male,02-11-24,Middle,Digital,0.41
125,Tiya Kalita,27-04-94,Male,16-08-24,High,Corporate,0.67
126,Azad Ben,02-04-85,Male,31-05-24,High,Digital,0.46
127,Hunar Anand,19-10-61,Female,15-11-24,Middle,Priority,0.04
128,Abram Uppal,01-04-01,Male,16-09-24,Low,Corporate,0.42
129,Yashvi Batta,29-08-95,Female,26-10-24,High,Corporate,0.81
130,Mannat Hora,08-05-65,Male,16-12-24,High,Digital,0.07
131,Prerak Chatterjee,15-06-72,Female,16-04-24,Low,Digital,0.95
132,Vidur Kurian,29-03-63,Male,15-08-24,Middle,Corporate,0.79
133,Ritvik Sathe,07-01-96,Male,24-07-24,Low,Retail,0.65
134,Aradhya Koshy,17-02-07,Male,14-11-24,High,Digital,0.8
135,Nirvaan Bajaj,12-12-68,Female,14-05-24,High,Priority,0.83
136,Romil Sane,22-08-82,Male,24-05-24,Low,Corporate,0.75
137,Shanaya Bora,17-05-71,Female,28-05-24,Middle,Corporate,0.19
138,Sumer Ratti,08-12-55,Male,28-04-24,Middle,Digital,0.88
139,Shayak Uppal,06-11-68,Female,12-09-24,Middle,Priority,0.68
140,Seher Sibal,25-01-99,Female,28-04-24,Low,Retail,0.93
141,Vivaan Sarin,15-08-76,Male,27-07-24,Middle,Digital,0.93
142,Neysa Dey,26-02-75,Male,19-02-25,Low,Corporate,0.85
143,Himmat Dhingra,14-05-92,Male,21-12-24,Upper Middle,Corporate,0.25
144,Nirvaan Badal,09-07-85,Male,01-11-24,Low,Priority,0.75
145,Vihaan Doshi,18-03-64,Male,04-04-24,Low,Retail,0.06
146,Vidur Agrawal,18-04-72,Male,21-11-24,Middle,Retail,0.04
147,Romil Sibal,09-05-60,Male,10-05-24,Low,Digital,0.6
148,Aradhya Sule,04-08-83,Male,22-01-25,High,Priority,0.58
149,Jayan Ahluwalia,27-04-64,Male,10-01-25,Middle,Digital,0.85
150,Shanaya Trivedi,30-09-87,Male,17-11-24,Middle,Corporate,0.06
151,Pranay Srivastava,15-12-77,Male,27-11-24,Upper Middle,Digital,0.96
152,Madhav Chakrabarti,12-07-93,Female,18-10-24,Low,Retail,0.64
153,Rati Varty,03-04-67,Male,01-03-25,Middle,Corporate,0.81
154,Bhavin Arora,08-12-81,Female,03-08-24,Middle,Digital,0.49
155,Pranay Tripathi,11-11-04,Female,19-11-24,Middle,Digital,0.14
156,Amani Walia,09-08-05,Male,20-11-24,Upper Middle,Priority,0.4
157,Samiha Kala,03-09-97,Male,17-02-25,High,Priority,0.58
158,Indrans Hari,06-12-87,Female,09-04-24,High,Digital,0.88
159,Baiju Grover,12-06-73,Female,15-02-25,High,Corporate,0.32
160,Vidur Hora,04-08-83,Male,15-10-24,Upper Middle,Corporate,0.03
161,Arnav Brar,13-12-73,Male,30-11-24,Low,Digital,0.82
162,Tiya Dhaliwal,16-12-98,Male,09-05-24,Middle,Retail,0.28
163,Raunak Sawhney,09-10-66,Male,22-06-24,Low,Retail,0.58
164,Indrans Gokhale,24-01-80,Male,20-08-24,Low,Corporate,0.95
165,Vivaan Goda,17-05-72,Male,24-05-24,Middle,Retail,0.33
166,Yuvraj  Choudhry,05-12-03,Female,05-02-25,High,Retail,0
167,Divij Jaggi,21-05-57,Male,27-07-24,Middle,Corporate,0.24
168,Ela Dhingra,29-07-86,Female,26-03-25,Middle,Retail,0.08
169,Shlok Chopra,09-06-94,Female,26-03-25,Middle,Priority,0.29
170,Mishti Gala,12-06-79,Female,06-12-24,Middle,Priority,0.98
171,Arhaan Swamy,20-07-82,Female,07-12-24,Upper Middle,Retail,0.12
172,Rhea Jain,16-09-70,Female,25-08-24,Low,Digital,0.63
173,Shray Badami,17-08-00,Male,20-05-24,Middle,Priority,0.4
174,Taimur Sane,24-11-99,Female,23-10-24,Upper Middle,Retail,0.36
175,Khushi Kumar,20-07-57,Male,08-09-24,Low,Corporate,0.34
176,Lakshay Rau,12-10-76,Female,10-12-24,Low,Retail,0.28
177,Umang Sharma,16-04-64,Female,05-02-25,Low,Digital,0.26
178,Kiara Ratti,26-10-04,Female,04-04-24,High,Digital,0.27
179,Lavanya Kohli,06-06-62,Male,01-04-24,High,Retail,0.4
180,Riaan Mani,07-11-72,Male,04-07-24,Upper Middle,Retail,0.29
181,Lagan Barman,02-04-81,Female,27-09-24,Low,Retail,0.51
182,Inaaya  Chaudhry,14-02-78,Male,28-11-24,Middle,Priority,0.15
183,Hazel Bora,06-03-65,Male,30-07-24,Low,Digital,0.98
184,Kartik Bhargava,15-10-59,Female,01-11-24,Middle,Digital,0.12
185,Farhan Solanki,27-10-76,Female,05-05-24,High,Corporate,0.23
186,Ryan Seth,28-07-93,Female,16-07-24,Upper Middle,Priority,0.93
187,Arnav Sarna,23-03-64,Male,09-02-25,Upper Middle,Retail,0.8
188,Nishith Mann,15-07-57,Male,10-03-25,Upper Middle,Corporate,0.1
189,Badal Bassi,04-06-70,Male,26-03-25,High,Priority,0.33
190,Anvi Taneja,04-06-66,Male,09-12-24,High,Corporate,0.37
191,Hunar Cheema,18-12-82,Female,22-01-25,Upper Middle,Retail,0.16
192,Piya Basu,27-08-72,Female,21-03-25,High,Priority,0.1
193,Suhana Rao,05-04-78,Male,24-09-24,Low,Corporate,0.16
194,Dharmajan Comar,09-07-73,Male,13-08-24,Low,Retail,0.12
195,Uthkarsh Vohra,06-05-73,Male,13-02-25,Low,Priority,0.15
196,Aayush Kohli,30-05-58,Female,01-01-25,Low,Retail,0.74
197,Lagan Banerjee,13-11-86,Female,30-12-24,Upper Middle,Digital,0.71
198,Krish Khalsa,06-05-70,Male,01-05-24,Upper Middle,Digital,0.73
199,Shamik Tella,19-04-84,Female,23-06-24,Upper Middle,Priority,0.86
200,Suhana Choudhry,18-02-84,Female,13-01-25,Low,Corporate,0.98
201,Neysa Shere,12-08-85,Female,13-01-25,High,Digital,0.47
202,Nirvi Hora,28-04-77,Female,09-01-25,Low,Retail,0.63
203,Aarush Chaudry,28-11-83,Male,24-09-24,Upper Middle,Corporate,0.44
204,Aayush Choudhry,23-06-60,Female,05-08-24,High,Retail,0.39
205,Shanaya Korpal,16-12-56,Female,24-02-25,High,Corporate,0.18
206,Badal Sundaram,21-11-82,Female,19-09-24,High,Corporate,0.72
207,Kartik Bobal,03-09-57,Female,07-04-24,High,Priority,0.32
208,Samaira Deshmukh,13-10-88,Female,07-06-24,Middle,Retail,0.59
209,Lagan Ahluwalia,18-06-63,Female,24-12-24,Middle,Corporate,0.66
210,Himmat Dhaliwal,10-12-96,Female,10-08-24,High,Priority,0.4
211,Dhruv Saini,11-04-86,Male,08-02-25,Low,Corporate,0.26
212,Rati Deo,04-05-67,Male,05-10-24,Middle,Priority,0.1
213,Mishti Devi,23-10-70,Female,02-09-24,Middle,Retail,0.08
214,Khushi Tata,16-11-66,Female,23-02-25,Low,Retail,0.34
215,Shayak Acharya,24-09-96,Female,13-11-24,Middle,Priority,0.04
216,Anahita Dash,12-01-93,Female,24-03-25,Upper Middle,Retail,0.57
217,Aarna Rao,10-02-98,Female,03-12-24,Low,Digital,0.15
218,Aaryahi Anne,26-05-92,Female,05-11-24,High,Digital,0.72
219,Ritvik Krish,03-09-93,Female,08-03-25,Low,Corporate,0.35
220,Emir Apte,16-10-72,Female,02-03-25,High,Retail,0.77
221,Ivan Acharya,12-08-58,Male,16-07-24,Upper Middle,Digital,0.85
222,Drishya Grewal,27-06-64,Female,17-05-24,High,Retail,0.2
223,Shamik Tripathi,04-03-07,Female,03-07-24,Upper Middle,Retail,0.81
224,Shalv Varkey,19-08-72,Male,07-07-24,Upper Middle,Priority,0.36
225,Taimur Dalal,03-10-93,Male,02-06-24,Upper Middle,Priority,0.5
226,Ritvik Bobal,07-03-97,Female,18-09-24,Upper Middle,Corporate,0.22
227,Raghav Behl,22-05-64,Female,16-12-24,Upper Middle,Retail,0.88
228,Pranay Sidhu,18-07-00,Male,08-02-25,High,Corporate,0.53
229,Fateh Bhargava,14-11-67,Female,06-11-24,Middle,Digital,0.26
230,Ehsaan Sengupta,26-07-06,Male,17-09-24,Upper Middle,Digital,0.38
231,Kiaan Chaudry,09-08-05,Female,15-01-25,Upper Middle,Corporate,0.84
232,Neysa Balay,27-01-03,Male,17-11-24,High,Priority,0.8
233,Raunak Vora,19-03-72,Female,30-01-25,Middle,Digital,0.96
234,Mishti Kumer,17-05-69,Male,13-11-24,Middle,Retail,0.95
235,Tara Divan,15-02-92,Female,04-08-24,Middle,Corporate,0.29
236,Arhaan Batra,03-02-65,Female,10-09-24,Upper Middle,Corporate,0.26
237,Kavya Deshmukh,18-04-79,Female,20-09-24,Upper Middle,Corporate,0.4
238,Shaan Ray,09-11-56,Male,21-01-25,High,Priority,0.42
